TRUD Document,Requirement Ref,Area,Title,Description,Applicability,Type,Compliance Status,Guidance on Appropriate Test Evidence and Comments,Additional Notes,Link,Description from previous set of Architecture Specifications ,System Type,Bundle,Transport,Category
Accreditation,ACC-GEN-01,ACC-RTS-01,Suppliers MUST confirm they are aware of ALL relevant requirements,"1
This speadsheet does not contain all the requirements defined in the ITK specifications. A full list of requirements is shown on the 'Cover' sheet, marked 'base nn'. Suppliers MUST confirm that all relevant requirements not listed in the spreadsheet  are met 
2
guidance MUST be sought rom HSCIC for any requirements that are not met.",Always applies,Must,SELECT ONE,"STATEMENT:   A statement of compliance simply confirming that the requirement is met. Or detail any discussions with HSCIC on requirements not met and agreed outcomes.
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: ",,,,ALL,ALL,ALL,1
"ITK Client, Host and ITK Middleware Requirements",COR-SUP-01,Documentation,Toolkit Implementations MUST provide message payload content in the Distribution Envelope,"NB
For HL7v2 content then the Service Definition artefacts define both an XML representation and a pipe-and-hat representation of this same content. While the XML representation is the preferred strategic direction, the pipe-and-hat representation is also acceptable.
",Always applies,Must,SELECT ONE,"EVIDENCE: Execute all tests marked as ""applicable""  after filters have been applied on the Testcases Index  tab. 
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: 
","This requirement applies to: 
All Client Applications
All Middleware  
All Host Applications 
SMSP Host

NOTE: For Host applications both Pipe-and-Hat and XML representations must be supported. TKW provides a transform is provided so that systems presented for ITK accreditation,which use pipe-and-hat formats only, can prepare their message samples for the XML-based ITK Testbench validation suite. This can be found in ...\TKW\contrib\Additional_Tools\PHconverter when TKW is installed.",,"It is likely that, historically, applications have provided interfaces in a format that is different from the Toolkit standards.
In order to meet the requirements for Toolkit readiness, all Toolkit Implementations MUST instead provide message payload content in line with the Toolkit standards
Note that this requirement relates to the message payload content only. The use of Toolkit transport protocols and wrappers (ie Web Services) is the subject of separate requirement statements
Note that for HL7v2 content then the Service Definition artefacts (see [8], [9])  define both an XML representation and a pipe-and-hat representation of this same content. While the XML representation is the preferred strategic direction, the pipe-and-hat representation is also acceptable.
",ALL,ALL,ALL,1
"ITK Client, Host and ITK Middleware Requirements",COR-SUP-03,Documentation,"Toolkit Implementations MUST provide design-time
documentation describing the services available","NB
Design time documentation may include solution overviews, solution architecture diagrams etc.",Always applies.,Must,SELECT ONE,"STATEMENT:  The statement  should describe how this requirement has been handled for example referring out to a user guide or  registry of services within the product.
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: ","This requirement applies to: 
All Client Applications
All Middleware  
All Host Applications
SMSP Host

NOTE: The Services that will be available (and accredited) in your product, should be agreed with the ITK Accreditation Team and included in your Design Time Documentation. For a Client Application, this will include all messages that are created by your product. For a Host Application, this will include messages that can be received by your product - identifying any messages in a bundle that are received but not actioned.",,"Documentation is necessary so that developers of requestor applications know what is available and how to make use of it. If a Registry and Repository are provided, then it likely that there will be a user interface allowing developers to browse and query the actual configuration details. Failing this, at the very least manual documentation (eg PDF or Word files) must be provided and kept up-to-date.",ALL,ALL,ALL,1
ITK Distribution Envelope Requirements,COR-DEH-01,Distribution Envelope Header–General Requirements,The Distribution Envelope Header “service” attribute MUST contain the value specified within the respective domain message specification.,,"Always applies to systems creating  the distribution envelope.

",Must,SELECT ONE,"EVIDENCE: Execute all tests marked as ""applicable""  after filters have been applied on the Testcases Index  tab. 
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: 
","This requirement applies to: 
All Client Applications
Middleware creating an infrastructure acknowledgement i.e. a NACK produced as the result of a routing failure. 
Host Applications that support routable services i.e. Correspondence, Telehealth and HSCI as they create acknowledgements.
SMSP Host

NOTE: All validation checks performed by the TKW test that the Distribution Envelope Header “service” attribute contains the original SOAP Action requested, therefore successful validation reports prove implementation. There is also a negative test case defined to ensure the host validation functions as expected (DE_INVSER).",,"Where a distribution goes via a path involving multiple routing “hops”, this allows the service name to be recreated.
For example:
  • A SOAP 1.1 web service call may be received, the SOAP Headers removed, and the SOAP Body (alone) queued for further processing
  • A call may be “tunnelled” via a non-SOAP inter-router distribution service, as part of a multi-hop routing process
The “service” attribute thus captures the original SOAP Action, allowing it to be restored to the SOAP Header for final delivery.

",MW&ACK; CLIENT; HOST& ACK; SMSP HOST; ,ALL,ALL,30
ITK Distribution Envelope Requirements,COR-DEH-02,Distribution Envelope Header–General Requirements,The Distribution Envelope Header “trackingid” attribute MUST be populated with a unique uuid for each end-to-end distribution request,"1
The uuid MUST be formatted into 5 hyphen-separated groups of hexadecimal digits having 8, 4, 4, 4, and 12 places respectively, and the hexadecimal digits A-F in UUIDs MUST be in upper case.

The trackingid MUST contain the uuid only.

Specifically there MUST NOT be any prefixes such as “urn:” or “uuid:” However if subsequent processing leads to further messages being exchanged as part of a business workflow, these messages MUST each have different trackingids of their own.","Always applies to systems creating  the distribution envelope.

",Must,SELECT ONE," STATEMENT: Please provide a statement of compliance confirming that subsequent business workflow related messages each have different trackingids.   

EVIDENCE: Execute all tests marked as ""applicable""  after filters have been applied on the Testcases Index  tab. 
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: 
","This requirement applies to: 
All Client Applications
Middleware creating an infrastructure acknowledgement i.e. a NACK produced as the result of a routing failure. 
Host Applications that support routable services i.e. Correspondence, Telehealth and HSCI as they create acknowledgements
SMSP Host",,"This allows for unique identification of each distribution – for example for logging and diagnostics.
The uuid MUST be formatted into 5 hyphen-separated groups of hexadecimal digits having 8, 4, 4, 4, and 12 places respectively, and the hexadecimal digits A-F in UUIDs MUST be in upper case. The trackingid MUST contain the uuid only. Specifically there MUST NOT be any prefixes such as  “urn:” or “uuid:”
The scope of a “distribution” is from the original sender to the final recipient(s).
For example, suppose a message is sent from App A to App B, via the Toolkit Middleware. This journey consists of two messaging “hops”, which would have different MessageIds in the transport headers, but the same trackingid in the Distribution Envelope. Thus the trackingid assists with end-to-end diagnostic investigations, without having to trace all steps in the chain.
If a message is broadcast to multiple destinations then all branches of the multicast MUST also have the same trackingid.
However if subsequent processing leads to further messages being exchanged as part of a business workflow, these messages MUST each have different trackingids of their own.",MW&ACK; CLIENT; HOST& ACK; SMSP HOST; ,ALL,ALL,30
ITK Distribution Envelope Requirements,COR-DEH-03,Distribution Envelope Header–General Requirements,For services using the Distribution Envelope and requiring an Audit Identity then Service Clients MUST populate the Audit Identity of the originating user ,"1
Systems populating the auditIdentity MUST guarantee an authenticated relationship between the identity and a user or source system.
2
This authentication SHOULD be strong authentication (e.g. smart card) but MUST at least be via personal login via a password created and maintained in a suitably-strong manner.
3
“Unattended” systems or those with no specific users MUST be secured. Whilst a remote system need not be able to resolve auditIdentity values directly, a populating system MUST be able to trace the source of a request to a specific local user or event.","Always applies to systems creating  the distribution envelope.

",Must,SELECT ONE,"EVIDENCE:Execute all tests marked as ""applicable""  after filters have been applied on the Testcases Index  tab. 
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: 

","This requirement applies to: 
All Client Applications
Middleware creating an infrastructure acknowledgement i.e. a NACK produced as the result of a routing failure. 
Host Applications that support routable services i.e. Correspondence, Telehealth and HSCI as they create acknowledgements.
SMSP Host

NOTE: Currently ALL services require the population of the Audit Identity.

NOTE: Please refer to the distribution envelope description for the service domains being implemented within the ITK Specifications that are held on TRUD (Refer Link), 
the Audit Identity cardinality is defined within this description. If there is no description, then the core distribution envelope description takes precedence.
",TRUD,"This allows the identity of the originating user to be propagated throughout the end-to-end distribution, thus enabling audit logs to be recorded at any point along the way.

Whether or not an Audit Identity is required is a per-service decision. Depending on the functionality involved, it may be necessary for some services but not for others

  • For messages which use the Distribution Envelope then Web Service Client Applications MUST populate the Audit Identity for those services where it is specified that the Audit Identity is required. The per-service specification of audit requirements will also indicate whether a unique user-id or a system-id is required
  • For other services where it is not specified that the Audit Identity is required then it MAY be omitted
",MW&ACK; CLIENT; HOST& ACK; SMSP HOST; ,ALL,ALL,30
ITK Distribution Envelope Requirements,COR-DEH-04,Distribution Envelope Header–General Requirements,Distribution Envelope Header “auditIdentity/id” element SHOULD contain a Toolkit identity URI,"1
The identity representation MUST consist of a printable ASCII string, conformant with the XML Schema anyURI data type (http://www.w3.org/TR/2004/REC-xmlschema-2-20041028/#anyURI). e.g. uri=""urn:nhs-uk:identity:ods:rhm:team1:C""
2
The following prefix MUST be used to indicate a Toolkit urn:nhs-uk:identity:
3
For a Toolkit identity: The remainder of the address MUST consist of an arbitrarily-long sequence of colon-delimited tokens. The tokens MUST represent a hierarchy with the highest level on the left and the lowest level on the right.
4
The first token MUST identify a HSCIC approved naming authority.
5
The second token MUST be a unique organisation identifier, allocated by that naming authority.
6
Subsequent token(s) MAY be locally allocated by the named organisation. That organisation MUST ensure that the uniqueness of the identity is preserved. Note that the precise content and meaning of this local identity information is not prescribed, rather each organisation MUST define their own internal identity namespace – based on their business operations and the entities that need to be identified.
7
If the address is a non-Toolkit address then the “type” attribute MUST be populated with an OID to indicate the address type.
NB: A Spine smartcard user role profile is another anticipated possibility which MAY be used.
NB
Example Toolkit Identity: urn:nhs-uk:identity:ods:REC:fbloggs 
Note that while the system recording the audit trail may not have direct access to the directory which provides details of the identified user, the initial organisational part of the identity will provide enough detail to enable enquiries to find these details out.","Always applies to systems creating  the distribution envelope.

",Should,SELECT ONE,"EVIDENCE:Execute all tests marked as ""applicable""  after filters have been applied on the Testcases Index  tab. 
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: ","This requirement applies to: 
All Client Applications
Middleware creating an infrastructure acknowledgement i.e. a NACK produced as the result of a routing failure. 
Host Applications that support routable services i.e. Correspondence, Telehealth and HSCI as they create acknowledgements.
SMSP Host

NOTE: Currently ALL services require the population of the Audit Identity.

NOTE: Please refer to the distribution envelope description for the service domains being implemented within the ITK Specifications that are held on TRUD (Refer Link), 
the Audit Identity cardinality is defined within this description. If there is no description, then the core distribution envelope description takes precedence.

NOTE: The example provided in the requirement: ""urn:nhs-uk:identity:ods:REC:fbloggs""
can be used for testing purposes. The actual value in Live will be dependent on each deployment.",TRUD,"• The identity representation MUST consist of a printable ASCII string, conformant with the XML Schema anyURI data type (http://www.w3.org/TR/2004/REC-xmlschema-2-20041028/#anyURI).
• The following prefix MUST be used to indicate a Toolkit identity: urn:nhs-uk:identity:
• For a Toolkit identity:
      o The remainder of the address MUST consist of an arbitrarily-long sequence of colon-delimited tokens. The tokens MUST represent a hierarchy with the highest level on the left and the lowest level on the right
      o The first token MUST identify a CFH approved naming authority 
      o The second token MUST be a unique organisation identifier, allocated by that naming authority
      o Subsequent token(s) MAY be locally allocated by the named organisation. That organisation MUST ensure that the uniqueness of the identity is preserved. Note that the precise content and meaning of this local identity information is not prescribed, rather each organisation MUST define their own internal identity namespace – based on their business operations and the entities that need to be identitied. 
• If the address is a non-Toolkit address then the “type” attribute MUST be populated with an OID to indicate the address type. (A Spine smartcard user role profile is another anticipated possibility which MAY be used.)
Example Toolkit Identity: urn:nhs-uk:identity:ods:REC:fbloggs
Note that while the system recording the audit trail may not have direct access to the directory which provides details of the identified user, the initial organisational part of the identity will provide enough detail to enable enquiries to find these details out.

",MW&ACK; CLIENT; HOST& ACK; SMSP HOST; ,ALL,ALL,30
ITK Distribution Envelope Requirements,COR-DEH-05,Distribution Envelope Header–General Requirements, The Distribution Envelope Header “manifest” element MUST be used to contain information about the message payload(s),"1
The “count” element of the manifest MUST record the number of “manifestitem” elements contained in the list","Always applies to systems creating  the distribution envelope.

",Must,SELECT ONE,"EVIDENCE:Execute all tests marked as ""applicable""  after filters have been applied on the Testcases Index  tab. 
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: ","This requirement applies to: 
All Client Applications
Middleware creating an infrastructure acknowledgement i.e. a NACK produced as the result of a routing failure. 
Host Applications that support routable services i.e. Correspondence, Telehealth and HSCI as they create acknowledgements.

NOTE: All validation checks performed by the TKW test that the Manifest Count attribute equals the number of manifests and also that the Payload Count is equal to the Manifest Count.There are also negative test cases defined to ensure the host validation functions as expected (DE_INVMPC).",,"The manifest contains technical information about the message payloads.
(Note that it does NOT contain business metadata such as patient and clinician identities – this business metadata is treated as a payload in its own right).
The “count” element of the manifest MUST record the number of “manifestitem” elements contained in the list

",MW&ACK; CLIENT; HOST& ACK; SMSP HOST; ,ALL,ALL,30
ITK Distribution Envelope Requirements,COR-DEH-06,Distribution Envelope Header–General Requirements,The Distribution Envelope Header “manifestitem” element MUST contain details of a single specific message payload,"1
The id attribute MUST be populated - this MUST contain an identifier that is unique within the message, and which matches the “id” attribute on the corresponding message payload which it describes.
2
The mimetype attribute MUST be populated this MUST describe the mime type of the relevant payload (The valid mime types for use here will be defined on a service-by-service basis).
3
The following attributes are optional Boolean flags which default to “false”. They MAY be populated if required: • metadata – set to “true” if this payload is a block of business metadata • compressed – set to “true” if the payload is compressed. (GZIP compression as per RFC 1952 (eg at http://tools.ietf.org/html/rfc1952) MUST be used) • encrypted – set to “true” if the payload is encrypted • base64 – set to “true” if the payload is base64 encoded","Always applies to systems creating  the distribution envelope.

",Must,SELECT ONE,"EVIDENCE:Execute all tests marked as ""applicable""  after filters have been applied on the Testcases Index  tab. 
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: ","This requirement applies to: 
Client Applications
Middleware creating an infrastructure acknowledgement i.e. a NACK produced as the result of a routing failure. 
Host Applications that support routable services i.e. Correspondence, Telehealth and HSCI as they create acknowledgements.
SMSP Host
",,"The manifestitem contains technical information about one of the message payload(s).
The following attributes MUST be populated
• id – this MUST contain an identifier that is unique within the message, and which matches the “id” attribute on the corresponding message payload which it describes
• mimetype – this MUST describe the mime type of the relevant payload (The valid mime types for use here will be defined on a service-by-service basis)
The following attributes are optional Boolean flags which default to “false”. They MAY be populated if required:
• metadata – set to “true” if this payload is a block of business metadata
• compressed – set to “true” if the payload is compressed. (GZIP compression as per RFC 1952 (eg at http://tools.ietf.org/html/rfc1952) MUST be used)
• encrypted – set to “true” if the payload is encrypted 
• base64 – set to “true” if the payload is base64 encoded

",MW&ACK; CLIENT; HOST& ACK; SMSP HOST; ,ALL,ALL,30
ITK Distribution Envelope Requirements,COR-DEH-07,Distribution Envelope Header–General Requirements,"The “profileid” attribute of the Distribution Envelope Header “manifestitem” MUST be supplied, containing a version identifier for all configurable items within the message if specified for a particular service","NB
For services for which ProfileID is defined, it MUST be populated consistently by a Toolkit Implementation when calling services. If use of the Profile ID is required for a service then details of the Profile ID will be specified separately as part of that service definition.",Always applies to systems creating  the distribution envelope except for Infrastructure Acknowledgement and ADT,Must,SELECT ONE,"EVIDENCE: Execute all tests marked as ""applicable""  after filters have been applied on the Testcases Index  tab. 
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: ","This requirement applies to: 
Client Applications that create messages for anything other than the ADT Domain
Host Applications that support routable services i.e. Correspondence, Telehealth and HSCI as they create Business Acknowledgements which must contain a ProfileID

NOTE: The Service Listings Spreadsheet which is contained in the ITK Accreditation Pack held on TRUD (or Refer Link) contains details of the ProfileID. 

NOTE: Currently all interactions except for ADT and Infrastructure Acks require a ProfileID.",Service Listings,"It is possible to make changes to message definitions that do not necessitate a change to the WSDL or Schema files. For example an externally defined vocabulary may be altered, flexibility in the schema may be exploited to add new optional data items, or subtle changes may be agreed in the semantic usage of identical message content.
For services for which ProfileID is defined, it MUST be populated consistently by a Toolkit Implementation when calling services. 
If use of the Profile ID is required for a service then details of the Profile ID to be used will be specified separately as part of that service definition.
Note that in the case of an intermediary forwarding a call, then the most likely implementation will be to simply pass on the Profile ID provided in the incoming request. However in some circumstances it is possible that the intermediary MAY need to inspect the message Profile ID in order to condition processing.

","CLIENT; HOST& ACK; SMSP HOST;
",ALL EXCEPT ADT,ALL,19
